Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
Campbell Cate,AUS,Femme,50,186,70,20.23355301,24.13,7.459593876
Sjostrom Sarah,SWE,Femme,50,186,70,20.23355301,24.15,7.453416168
Kromowidjojo Ranomi,NED,Femme,50,179,69,21.5349084,24.35,7.392197124
Halsall Francesca,GBR,Femme,50,173,59,19.71332153,24.38,7.383100896
Ottesen-Gray Jeanette,DEN,Femme,50,178,70,22.09317005,24.54,7.334963316
Campbell Bronte,AUS,Femme,50,179,58,18.10180706,24.58,7.323026868
Blume Pernille,DEN,Femme,50,171,58,19.83516296,24.59,7.320048804
Schlanger Melanie,AUS,Femme,50,176,65,20.9839876,24.69,7.290400968
Dekker Inge,NED,Femme,50,183,67,20.00656932,24.73,7.278608988
Herasimenia Aliaksandra,BLR,Femme,50,175,60,19.59183673,24.73,7.278608988
Heemskerk Femke,NED,Femme,50,180,67,20.67901235,24.8,7.258064508
Brandt Dorothea,GER,Femme,50,178,62,19.56823633,24.9,7.228915668
McKeon Emma,AUS,Femme,50,178,58,18.30576947,25,7.2
Santamans Anna,FRA,Femme,50,176,60,19.36983471,25.01,7.197121152
Elmslie Brittany,AUS,Femme,50,179,73,22.78330889,25.05,7.185628728
Kukla Yolane,AUS,Femme,50,168,61,21.61281179,25.15,7.157057652
Coughlin Natalie,USA,Femme,50,173,63,21.0498179,25.17,7.151370696
Smith Amy,GBR,Femme,50,172,59,19.94321255,25.17,7.151370696
Hosszu Katinka,HUN,Femme,50,170,56,19.37716263,25.19,7.14569274
Weir Amanda,USA,Femme,50,185,78,22.79035793,25.23,7.134363864
Vanderpool-Wallace Arianna,BAH,Femme,50,168,61,21.61281179,25.24,7.131537252
Manuel Simone,USA,Femme,50,180,67,20.67901235,25.27,7.123070844
Poon Victoria,CAN,Femme,50,184,73,21.56190926,25.29,7.117437708
Koschischek Birgit,AUT,Femme,50,169,60,21.0076678,25.34,7.103393856
Nielsen Mie,DEN,Femme,50,184,67,19.78969754,25.38,7.092198576
Medeiros Etiene,BRA,Femme,50,183,61,18.21493625,25.39,7.089405264
Muffat Camille,FRA,Femme,50,183,71,21.20099137,25.41,7.083825264
Coutts Alicia,AUS,Femme,50,176,70,22.5981405,25.42,7.08103854
Van Der Meer Maud,NED,Femme,50,180,64,19.75308642,25.46,7.069913604
O'Connor Siobhan-Marie,GBR,Femme,50,173,60,20.04744562,25.48,7.064364204
Coleman Michelle,SWE,Femme,50,182,65,19.62323391,25.49,7.06159278
Uchida Miki,JPN,Femme,50,170,62,21.4532872,25.49,7.06159278
Matsumoto Yayoi,JPN,Femme,50,168,65,23.03004535,25.51,7.056056448
Khitraya Yuliya,BLR,Femme,50,180,66,20.37037037,25.52,7.05329154
Garcia Vega Vanessa,PUR,Femme,50,170,59,20.41522491,25.54,7.047768204
Hardy Jessica,USA,Femme,50,183,69,20.60378035,25.59,7.033997664
Meilutyte Ruta,LTU,Femme,50,172,64,21.63331531,25.61,7.028504496
Matsuo Ami,AUS,Femme,50,182,70,21.13271344,25.68,7.0093458
Hansson Louise,SWE,Femme,50,187,71,20.30369756,25.73,6.99572484
Yamaguchi Misaki,JPN,Femme,50,165,59,21.67125803,25.74,6.993006984
Maree Trudi,RSA,Femme,50,171,70,23.93898977,25.78,6.982156728
Qiu Yuhan,CHN,Femme,50,175,53,17.30612245,25.81,6.974041068
Romano Megan,USA,Femme,50,186,77,22.25690831,25.84,6.965944272
Hermann Graciele,BRA,Femme,50,181,62,18.92494124,25.88,6.955177752
Garcia Venessa,PUR,Femme,50,170,59,20.41522491,25.94,6.939090216
Bianchi Ilaria,ITA,Femme,50,170,74,25.60553633,25.98,6.92840646
Sysmans Jolien,BEL,Femme,50,168,60,21.2585034,25.99,6.92574066
Campbell Cate,AUS,Femme,100,186,67,19.36640074,53.08,6.782215536
Herasimenia Aliaksandra,BLR,Femme,100,175,60,19.59183673,53.89,6.680274624
Campbell Bronte,AUS,Femme,100,179,58,18.10180706,53.98,6.669136728
Sjostrom Sarah,SWE,Femme,100,186,70,20.23355301,54.03,6.662965032
Manuel Simone,USA,Femme,100,180,67,20.67901235,54.38,6.620080896
Schlanger Melanie,AUS,Femme,100,176,65,20.9839876,54.44,6.612784704
Prinsloo Karin,RSA,Femme,100,183,70,20.90238586,54.48,6.607929528
Elmslie Brittany,AUS,Femme,100,179,73,22.78330889,54.55,6.599450052
Halsall Francesca,GBR,Femme,100,173,59,19.71332153,54.76,6.574141728
Shen Duo,CHN,Femme,100,180,72,22.22222222,54.77,6.57294138
Schmitt Allison,USA,Femme,100,185,74,21.62162162,54.86,6.562158228
Romano Megan,USA,Femme,100,186,77,22.25690831,54.94,6.552602856
Vanderpool-Wallace Arianna,BAH,Femme,100,168,61,21.61281179,54.94,6.552602856
Coleman Michelle,SWE,Femme,100,182,65,19.62323391,54.95,6.551410392
Matsuo Ami,AUS,Femme,100,182,70,21.13271344,54.95,6.551410392
Smith Amy,GBR,Femme,100,172,59,19.94321255,55.05,6.539509548
Weir Amanda,USA,Femme,100,185,75,21.9138057,55.06,6.538321836
Blume Pernille,DEN,Femme,100,171,58,19.83516296,55.15,6.527651868
Qiu Yuhan,CHN,Femme,100,175,53,17.30612245,55.18,6.524102952
Poon Victoria,CAN,Femme,100,184,73,21.56190926,55.2,6.52173912
Coutts Alicia,AUS,Femme,100,176,70,22.5981405,55.28,6.512301
Barratt Bronte,AUS,Femme,100,171,61,20.86111966,55.33,6.506416044
Coughlin Natalie,USA,Femme,100,173,63,21.0498179,55.35,6.504065028
Uchida Miki,JPN,Femme,100,170,62,21.4532872,55.43,6.494677992
Kukla Yolane,AUS,Femme,100,168,61,21.61281179,55.44,6.49350648
Bruhn Annika,GER,Femme,100,181,66,20.14590519,55.45,6.492335436
Brandt Dorothea,GER,Femme,100,178,62,19.56823633,55.47,6.489994608
Chen Xinyi,CHN,Femme,100,175,60,19.59183673,55.47,6.489994608
Ledecky Katie,USA,Femme,100,183,70,20.90238586,55.57,6.478315632
Groves Madeline,AUS,Femme,100,180,60,18.51851852,55.63,6.471328428
Mainville Sandrine,CAN,Femme,100,173,64,21.383942,55.64,6.47016534
Throssell Brianna,AUS,Femme,100,175,60,19.59183673,55.68,6.465517236
O'Connor Siobhan-Marie,GBR,Femme,100,173,60,20.04744562,55.8,6.45161292
Hardy Jessica,USA,Femme,100,183,69,20.60378035,55.82,6.449301324
Turner Rebecca,GBR,Femme,100,170,69,23.87543253,55.85,6.44583708
Gandy Ellen,AUS,Femme,100,169,62,21.70792339,55.97,6.432017148
Nielsen Mie,DEN,Femme,100,184,67,19.78969754,56.06,6.421691052
Hosszu Katinka,HUN,Femme,100,170,56,19.37716263,56.1,6.417112284
Matsumoto Yayoi,JPN,Femme,100,168,65,23.03004535,56.14,6.412540068
Mizzau Alice,ITA,Femme,100,180,65,20.0617284,56.18,6.407974368
Nay Meagen,AUS,Femme,100,174,62,20.47826661,56.23,6.40227636
Palmer Kylie,AUS,Femme,100,172,68,22.98539751,56.23,6.40227636
Taylor Sophie,GBR,Femme,100,173,62,20.71569381,56.36,6.387508872
Buys Kimberly,BEL,Femme,100,187,72,20.58966513,56.37,6.386375736
Giareni Theodora,GRE,Femme,100,175,60,19.59183673,56.41,6.381847188
Garcia Vega Vanessa,PUR,Femme,100,170,59,20.41522491,56.42,6.380716068
Castro Ortega Patricia,ESP,Femme,100,178,66,20.83070319,56.44,6.378455016
Seppala Hanna-Maria,FIN,Femme,100,173,59,19.71332153,56.44,6.378455016
Oliveira Larissa,BRA,Femme,100,168,56,19.84126984,56.45,6.377325084
Khitraya Yuliya,BLR,Femme,100,180,66,20.37037037,56.59,6.361547976
Hermann Graciele,BRA,Femme,100,181,62,18.92494124,56.71,6.348086748
Schreiber Daniela,GER,Femme,100,185,65,18.99196494,56.8,6.338028168
Dziamidava Aksana,BLR,Femme,100,167,54,19.36247266,56.83,6.3346824
Michalak Theresa,GER,Femme,100,175,65,21.2244898,56.83,6.3346824
Rangelova Nina,BUL,Femme,100,170,58,20.06920415,56.91,6.325777548
Masini Luccetti Chiara,ITA,Femme,100,171,63,21.5450908,56.94,6.322444668
Mutina Agnes,HUN,Femme,100,170,63,21.79930796,57,6.315789492
D'Cruz Guehrer Marieke,AUS,Femme,100,185,74,21.62162162,57.15,6.299212608
Atkinson Alia,JAM,Femme,100,172,69,23.32341806,57.25,6.288209604
Maree Trudi,RSA,Femme,100,171,70,23.93898977,57.28,6.284916216
Ryan Gillian,USA,Femme,100,172,66,22.30935641,57.36,6.276150612
Sjostrom Sarah,SWE,Femme,200,186,70,20.23355301,115.04,6.258692628
McKeon Emma,AUS,Femme,200,178,58,18.30576947,115.68,6.224066388
Pellegrini Federica,ITA,Femme,200,177,65,20.74755019,115.69,6.223528404
Ledecky Katie,USA,Femme,200,183,70,20.90238586,116.27,6.192483012
Heemskerk Femke,NED,Femme,200,180,67,20.67901235,116.39,6.186098448
O'Connor Siobhan-Marie,GBR,Femme,200,173,60,20.04744562,116.59,6.175486764
Barratt Bronte,AUS,Femme,200,171,59,20.17714852,116.61,6.174427572
Schmitt Allison,USA,Femme,200,185,74,21.62162162,116.9,6.159110364
Muffat Camille,FRA,Femme,200,183,71,21.20099137,117.05,6.151217436
Hosszu Katinka,HUN,Femme,200,170,56,19.37716263,117.24,6.141248712
Coleman Michelle,SWE,Femme,200,182,65,19.62323391,117.4,6.132879036
Prinsloo Karin,RSA,Femme,200,183,70,20.90238586,117.41,6.132356712
Mizzau Alice,ITA,Femme,200,180,65,20.0617284,117.53,6.126095484
MacLean Brittany,CAN,Femme,200,172,70,23.66143862,117.57,6.124011228
Elmslie Brittany,AUS,Femme,200,179,73,22.78330889,117.64,6.120367236
Boyle Lauren,NZL,Femme,200,183,67,20.00656932,117.67,6.118806852
Costa Schmid Melania,ESP,Femme,200,180,70,21.60493827,117.9,6.106870224
Carlin Jazmin,GBR,Femme,200,177,63,20.10916403,117.97,6.103246572
Bonnet Charlotte,FRA,Femme,200,174,61,20.14797199,118,6.1016949
Pirozzi Stefania,ITA,Femme,200,165,52,19.10009183,118.18,6.092401428
Groves Madeline,AUS,Femme,200,180,60,18.51851852,118.62,6.069802716
Bochmann Anne,GBR,Femme,200,180,75,23.14814815,118.69,6.066222948
Balmy Coralie,FRA,Femme,200,180,67,20.67901235,118.73,6.064179228
Faulkner Eleanor,GBR,Femme,200,165,55,20.2020202,118.82,6.059585916
Hansson Louise,SWE,Femme,200,187,71,20.30369756,118.86,6.057546696
Lucie-Smith Samantha,NZL,Femme,200,175,65,21.2244898,119.02,6.04940346
McClatchey Caitlin,GBR,Femme,200,170,57,19.72318339,119.02,6.04940346
Zaiser Lisa,AUT,Femme,200,174,63,20.80856124,119.07,6.046863192
Qiu Yuhan,CHN,Femme,200,175,53,17.30612245,119.15,6.042803184
Turner Rebecca,GBR,Femme,200,170,69,23.87543253,119.17,6.041789028
Masini Luccetti Chiara,ITA,Femme,200,171,63,21.5450908,119.24,6.0382422
Cheverton Sam,CAN,Femme,200,160,52,20.3125,119.28,6.036217308
Manuel Simone,USA,Femme,200,180,67,20.67901235,119.33,6.033688092
Matsuo Ami,AUS,Femme,200,182,70,21.13271344,119.52,6.024096396
Schlanger Melanie,AUS,Femme,200,176,65,20.9839876,119.72,6.01403274
Hache Cloe,FRA,Femme,200,171,62,21.20310523,119.76,6.012024048
Haughey Siobhan Bernadette,HKG,Femme,200,174,60,19.81767737,119.8,6.010016688
Mitchell Libby,GBR,Femme,200,175,71,23.02040816,119.87,6.006507048
Jardin Barbara,CAN,Femme,200,172,59,19.94321255,119.88,6.006006
Overholt Emily,CAN,Femme,200,170,55,19.03114187,119.88,6.006006
Hoff Katie,USA,Femme,200,175,64,20.89795918,119.93,6.003502056
Miyamoto Yasuko,JPN,Femme,200,164,59,21.93634741,119.94,6.003001512
Ignacio Sorribes Judit,ESP,Femme,200,165,56,20.56932966,119.99,6.000500052
Meilutyte Ruta,LTU,Femme,200,172,64,21.63331531,120.11,5.994505044
Matsumoto Yayoi,JPN,Femme,200,168,65,23.03004535,120.24,5.988023964
Igarashi Chihiro,JPN,Femme,200,170,59,20.41522491,120.33,5.98354524
Keire Jacqueline,CAN,Femme,200,178,61,19.36123785,120.35,5.982550884
Carli Diletta,ITA,Femme,200,170,62,21.4532872,120.44,5.978080368
Blume Pernille,DEN,Femme,200,170,58,20.06920415,120.47,5.976591696
Mutina Agnes,HUN,Femme,200,170,63,21.79930796,120.5,5.975103744
Ryan Gillian,USA,Femme,200,172,66,22.30935641,120.5,5.975103744
Mabboux Isabelle,FRA,Femme,200,175,68,22.20408163,120.51,5.974607916
Gomez Cortes Beatriz,ESP,Femme,200,170,61,21.10726644,120.55,5.972625468
Lazare Mylene,FRA,Femme,200,183,75,22.39541342,120.56,5.972130072
Etienne Ophelie,FRA,Femme,200,176,62,20.01549587,120.58,5.971139496
De Memme Martina,ITA,Femme,200,175,65,21.2244898,120.61,5.969654244
Sutton Chloe,USA,Femme,200,173,66,22.05219018,120.61,5.969654244
Dekker Inge,NED,Femme,200,183,67,20.00656932,120.62,5.969159352
Gandy Ellen,AUS,Femme,200,169,62,21.70792339,120.62,5.969159352
Ashwood Jessica,AUS,Femme,200,173,64,21.383942,120.67,5.966686008
Takano Aya,JPN,Femme,200,165,54,19.83471074,120.82,5.959278252
Castro Ortega Patricia,ESP,Femme,200,178,66,20.83070319,120.88,5.956320312
Hind Natasha,NZL,Femme,200,168,60,21.2585034,120.93,5.953857588
Romano Megan,USA,Femme,200,186,77,22.25690831,120.98,5.951396916
Bruhn Annika,GER,Femme,200,175,66,21.55102041,121.13,5.944027068
Pinto Andreina,VEN,Femme,200,179,62,19.35020755,121.14,5.943536388
Villars Danielle,SUI,Femme,200,178,60,18.9370029,121.14,5.943536388
King Savannah,CAN,Femme,200,178,70,22.09317005,121.29,5.936186016
Miley Hannah,GBR,Femme,200,166,53,19.23356075,121.43,5.92934202
Cavalheiro Jessica,BRA,Femme,200,164,58,21.56454491,121.44,5.928853752
Zanden Wendy,NED,Femme,200,175,68,22.20408163,121.46,5.927877504
Listopadova Katarina,SVK,Femme,200,169,61,21.3577956,121.5,5.925925944
Gilchrist Megan,GBR,Femme,200,160,60,23.4375,121.51,5.925438252
Throssell Brianna,AUS,Femme,200,175,60,19.59183673,121.51,5.925438252
Jakabos Zsuzsanna,HUN,Femme,200,183,69,20.60378035,121.52,5.924950632
Lee Samantha,NZL,Femme,200,173,64,21.383942,121.53,5.924463084
Zamorano Sanz Africa,ESP,Femme,200,168,57,20.19557823,121.53,5.924463084
Belmonte Mireia,ESP,Femme,400,168,60,21.2585034,243.8,5.906480724
Ledecky Katie,USA,Femme,400,183,70,20.90238586,243.8,5.906480724
Barratt Bronte,AUS,Femme,400,171,59,20.17714852,244.6,5.887162728
Pellegrini Federica,ITA,Femme,400,177,65,20.74755019,244.6,5.887162728
Carlin Jazmin,GBR,Femme,400,177,63,20.10916403,244.7,5.884756848
Ashwood Jessica,AUS,Femme,400,173,64,21.383942,245,5.877551016
Sjostrom Sarah,SWE,Femme,400,186,70,20.23355301,246,5.853658536
Boyle Lauren,NZL,Femme,400,183,67,20.00656932,246.1,5.85127998
MacLean Brittany,CAN,Femme,400,172,70,23.66143862,246.2,5.848903332
Muffat Camille,FRA,Femme,400,183,71,21.20099137,247.1,5.827600152
Costa Schmid Melania,ESP,Femme,400,180,70,21.60493827,247.2,5.825242728
Palmer Kylie,AUS,Femme,400,172,68,22.98539751,247.5,5.818181832
Prinsloo Karin,RSA,Femme,400,183,70,20.90238586,247.9,5.80879386
Mizzau Alice,ITA,Femme,400,180,65,20.0617284,248.4,5.797101456
Ryan Gillian,USA,Femme,400,172,66,22.30935641,248.5,5.79476862
Hosszu Katinka,HUN,Femme,400,170,56,19.37716263,248.6,5.792437656
Balmy Coralie,FRA,Femme,400,180,67,20.67901235,248.9,5.785455996
Shao Yiwen,CHN,Femme,400,171,56,19.15119182,248.9,5.785455996
De Memme Martina,ITA,Femme,400,175,65,21.2244898,249,5.78313252
Willmott Aimee,GBR,Femme,400,172,66,22.30935641,249,5.78313252
Friis Lotte,DEN,Femme,400,184,74,21.85727788,249.3,5.776173288
Faulkner Eleanor,GBR,Femme,400,165,55,20.2020202,249.7,5.766920316
Sutton Chloe,USA,Femme,400,173,66,22.05219018,250.1,5.757696936
Goldman Katie,AUS,Femme,400,169,58,20.30741221,250.2,5.755395672
Ponsele Aurora,ITA,Femme,400,174,60,19.81767737,250.5,5.748503004
Baumann Tabitha,CAN,Femme,400,189,80,22.39578959,250.7,5.743917036
Caramignoli Martina Rita,ITA,Femme,400,168,53,18.77834467,250.8,5.741626788
Igarashi Chihiro,JPN,Femme,400,170,59,20.41522491,251.2,5.732484084
Carli Diletta,ITA,Femme,400,170,62,21.4532872,251.2,5.732484084
Chida Asami,JPN,Femme,400,168,53,18.77834467,251.5,5.725646136
Miley Hannah,GBR,Femme,400,166,53,19.23356075,251.6,5.723370432
Beisel Elizabeth,USA,Femme,400,168,66,23.38435374,251.9,5.716554192
Schmitt Allison,USA,Femme,400,185,74,21.62162162,252.1,5.712019056
Lucie-Smith Samantha,NZL,Femme,400,175,65,21.2244898,252.2,5.709754152
Groves Madeline,AUS,Femme,400,180,60,18.51851852,252.3,5.707491084
King Savannah,CAN,Femme,400,178,70,22.09317005,252.6,5.700712608
Masini Luccetti Chiara,ITA,Femme,400,171,63,21.5450908,252.6,5.700712608
Crockart Laura,AUS,Femme,400,170,65,22.49134948,252.7,5.698456668
Thielmann Jessica,GBR,Femme,400,166,70,25.40281608,253.7,5.67599526
Bonnet Charlotte,FRA,Femme,400,174,61,20.14797199,253.9,5.67152424
Cheverton Sam,CAN,Femme,400,160,52,20.3125,254,5.66929134
Takano Aya,JPN,Femme,400,165,54,19.83471074,254.2,5.664830832
Jardin Barbara,CAN,Femme,400,172,59,19.94321255,254.3,5.662603224
Ackman Alyson,CAN,Femme,400,165,60,22.03856749,255.1,5.644845144
Verraszto Evelyn,HUN,Femme,400,173,62,20.71569381,255.1,5.644845144
Thornton Aisha,GBR,Femme,400,176,70,22.5981405,255.5,5.636007828
Etienne Ophelie,FRA,Femme,400,176,62,20.01549587,255.6,5.633802828
Gilchrist Megan,GBR,Femme,400,160,60,23.4375,255.9,5.627198124
Gandy Ellen,AUS,Femme,400,169,62,21.70792339,256.1,5.622803604
Mabboux Isabelle,FRA,Femme,400,175,68,22.20408163,256.2,5.6206089
Bochmann Anne,GBR,Femme,400,180,75,23.14814815,256.2,5.6206089
Mitchell Libby,GBR,Femme,400,175,71,23.02040816,256.4,5.61622464
McMahon Sycerika,IRL,Femme,400,170,60,20.76124567,256.9,5.605293888
Nielsen Mie,DEN,Femme,400,184,67,19.78969754,256.9,5.605293888
Ito Megumi,JPN,Femme,400,174,62,20.47826661,257.1,5.600933496
Perez Blanco Jimena,ESP,Femme,400,169,61,21.3577956,257.3,5.596579872
Carlin Jazmin,GBR,Femme,800,177,63,20.10916403,498.36,5.778954972
Ashwood Jessica,AUS,Femme,800,173,64,21.383942,499.76,5.762766132
Ledecky Katie,USA,Femme,800,183,70,20.90238586,500.1,5.758848216
Belmonte Mireia,ESP,Femme,800,168,60,21.2585034,503.45,5.72052834
Shao Yiwen,CHN,Femme,800,171,56,19.15119182,504.14,5.712698844
Sutton Chloe,USA,Femme,800,173,66,22.05219018,504.51,5.708509236
MacLean Brittany,CAN,Femme,800,183,70,20.90238586,504.91,5.703986844
Villaecija Garcia Erika,ESP,Femme,800,177,61,19.47077787,507.07,5.679689184
Boyle Lauren,NZL,Femme,800,182,67,20.22702572,507.48,5.675100516
Friis Lotte,DEN,Femme,800,184,74,21.85727788,508.65,5.662046592
Perez Blanco Jimena,ESP,Femme,800,169,61,21.3577956,509.01,5.658042096
Goldman Katie,AUS,Femme,800,169,58,20.30741221,509.02,5.657930928
Balmy Coralie,FRA,Femme,800,180,67,20.67901235,509.18,5.656153032
Hosszu Katinka,HUN,Femme,800,170,56,19.37716263,509.42,5.653488276
Gomez Cortes Beatriz,ESP,Femme,800,170,61,21.10726644,510.27,5.644070784
Crockart Laura,AUS,Femme,800,170,65,22.49134948,511.84,5.626758348
Faulkner Eleanor,GBR,Femme,800,165,55,20.2020202,512.99,5.614144524
Van Rouwendaal Sharon,NED,Femme,800,172,64,21.63331531,513.94,5.603766984
Saroukian Sophia,CAN,Femme,800,168,60,21.2585034,514.35,5.599300104
Caramignoli Martina Rita,ITA,Femme,800,168,53,18.77834467,515.45,5.587350876
Miley Hannah,GBR,Femme,800,166,53,19.23356075,516.49,5.576100228
Chida Asami,JPN,Femme,800,168,53,18.77834467,516.92,5.571461736
Ryan Gillian,USA,Femme,800,173,65,21.71806609,517.72,5.562852516
Gubecka Chelsea,AUS,Femme,800,162,57,21.71925011,518.54,5.554055628
Igarashi Chihiro,JPN,Femme,800,170,59,20.41522491,520.13,5.537077272
Carli Diletta,ITA,Femme,800,170,62,21.4532872,520.15,5.536864368
Payne Keri-Anne,GBR,Femme,800,178,67,21.14631991,521.43,5.523272532
Gilchrist Megan,GBR,Femme,800,160,60,23.4375,522.35,5.513544576
Ponsele Aurora,ITA,Femme,800,174,60,19.81767737,524.19,5.494191048
Bruni Rachele,ITA,Femme,800,170,60,20.76124567,524.29,5.493143124
Thielmann Jessica,GBR,Femme,800,166,70,25.40281608,524.9,5.486759388
Codevelle Coralie,FRA,Femme,800,172,60,20.2812331,525.54,5.480077644
Grangeon Lara,FRA,Femme,800,170,57,19.72318339,525.9,5.4763263
Berthier Julie,FRA,Femme,800,180,66,20.37037037,526.09,5.474348496
Etienne Ophelie,FRA,Femme,800,176,62,20.01549587,527.5,5.459715648
De Memme Martina,ITA,Femme,800,175,65,21.2244898,528.5,5.449385052
Hassler Julia,LIE,Femme,800,178,73,23.0400202,530.65,5.427306144
Beisel Elizabeth,USA,Femme,800,168,66,23.38435374,531.48,5.418830448
Gorman Melissa,AUS,Femme,800,180,68,20.98765432,531.77,5.41587528
Grimaldi Martina,ITA,Femme,800,172,65,21.97133586,531.86,5.414958828
Thornton Aisha,GBR,Femme,800,176,70,22.5981405,537.85,5.35465278
Rothon Morgane,FRA,Femme,800,171,67,22.91303307,551.88,5.218525764
Ryan Gillian,USA,Femme,1500,172,66,22.30935641,983.6,5.490036612
